Year,Kilometers_Driven,Price,
2014,72000,27000,
2014,110000,15000,
2014,77469,6340,
2014,78500,28000,
2014,32982,18550,
2014,55431,6980,
2014,19698,1530,
2014,35487,4740,
2014,46374,8850,
2014,75000,3850,
2014,52000,4250,
2014,53000,3300,
2014,56000,29500,
2014,107000,16500,
2014,58000,8100,
2014,30180,4650,
2014,53000,3900,
2014,40000,5250,
2014,25500,2150,
2014,55000,11110,
2014,32700,20000,
2014,53753,16750,
2014,42000,7750,
2014,88500,2600,
2014,44965,17950,
2014,45044,3700,
2014,38800,2850,
2014,48000,26500,
2014,147898,4420,
2014,29000,8350,
2014,40000,22950,
2014,51000,33500,
2014,37382,32000,
2014,52000,3500,
2014,90000,5350,
2014,76000,10000,
2014,104000,3000,
2014,37245,11960,
2014,30000,5950,
2014,64000,3500,
2014,118000,10750,
2014,82002,18500,
2014,60000,3700,
2014,16514,3750,
2014,57000,18000,
2014,88500,4350,
2014,45051,5960,
2014,49000,6900,
2014,61726,20770,
2014,77815,4250,
2014,51495,21950,
2014,133944,3500,
2014,68000,6750,
2014,45000,3250,
2014,25000,26000,
2014,59364,26500,
2014,41380,11770,
2014,37000,3250,
2014,17400,3100,
2014,85000,3500,
2014,79271,16500,
2014,95649,29670,
2014,11900,28500,
2014,30000,3200,
2014,15000,3750,
2014,20600,2600,
2014,67000,2500,
2014,38000,39000,
2014,31465,6500,
2014,45000,23000,
2014,98000,5500,
2014,35000,4250,
2014,79000,6250,
2014,56000,2790,
2014,8700,2550,
2014,18000,1000,
2014,13361,6800,
2014,47399,5600,
2014,43900,6750,
2014,47000,25500,
2014,35000,5250,
2014,9500,3500,
2014,79926,29770,
2014,55000,4750,
2014,19000,44000,
2014,59962,6900,
2014,7400,4350,
2014,67407,4650,
2014,107825,20500,
2014,69330,23500,
2014,49964,23890,
2014,35000,12750,
2014,64000,4150,
2014,58407,6160,
2014,49500,6000,
2014,55000,7100,
2014,48000,29000,
2014,120000,30000,
2014,75000,7500,
2014,55818,5700,
2014,35214,3200,
2014,60000,23500,
2014,56778,15460,
2014,41016,5080,
2014,74980,4080,
2014,44600,4550,
2014,67000,5600,
2014,49000,2300,
2014,40000,2490,
2014,58500,2750,
2014,25000,2750,
2014,33372,6210,
2014,60138,4090,
2014,84000,10750,
2014,47000,41500,
2014,33450,4400,
2014,64000,7250,
2014,57000,3950,
2014,23000,6900,
2014,70089,5350,
2014,72000,4750,
2014,71649,6750,
2014,58472,3410,
2014,25789,6850,
2014,59923,6460,
2014,60000,20000,
2014,28000,7750,
2014,64889,11500,
2014,96000,4800,
2014,37400,1890,
2014,95000,9450,
2014,28246,4940,
2014,51000,3100,
2014,33855,5090,
2014,37632,4500,
2014,81000,6100,
2014,26856,4150,
2014,63003,6750,
2014,80000,9400,
2014,56658,5390,
2014,67000,5500,
2014,52398,2470,
2014,36657,3300,
2014,85000,38750,
2014,48000,26500,
2014,35000,3800,
2014,68462,4150,
2014,90000,7250,
2014,45000,3850,
2014,40000,3950,
2014,40000,5250,
2014,50000,51000,
2014,89614,6010,
2014,62505,5950,
2014,48000,2750,
2014,18000,2500,
2014,72022,9230,
2014,34000,22000,
2014,69000,5190,
2014,57000,3890,
2014,93325,14450,
2014,64000,15650,
2014,52782,4850,
2014,62000,5350,
2014,86925,17180,
2014,66000,5700,
2014,42070,11570,
2014,30000,6000,
2014,32000,2100,
2014,28238,5550,
2014,24000,11510,
2014,54000,3250,
2014,35000,23000,
2014,65213,9450,
2014,40748,6300,
2014,12400,4650,
2014,47000,11250,
2014,54000,4500,
2014,54000,5500,
2014,40000,24000,
2014,54546,5500,
2014,77395,14350,
2014,14262,27350,
2014,54173,5550,
2014,50000,13500,
2014,57456,21560,
2014,33000,43000,
2014,45000,3490,
2014,57319,4250,
2014,60000,5750,
2014,47674,5720,
2014,61517,4390,
2014,110000,14400,
2014,40000,3150,
2014,46566,4400,
2014,103788,5670,
2014,65000,10500,
2014,77000,2800,
2014,54890,2450,
2014,70000,8250,
2014,35059,5750,
2014,36000,5000,
2014,51355,27000,
2014,35642,6690,
2014,52895,6020,
2014,71800,2900,
2014,45000,6850,
2014,45000,2480,
2014,33000,3250,
2014,42365,5500,
2014,41089,28790,
2014,56000,34500,
2014,95000,4500,
2014,194000,10500,
2014,56000,4250,
2014,48000,5200,
2014,65000,6990,
2014,25000,44000,
2014,52000,49000,
2014,72465,5900,
2014,36000,3250,
2014,32000,4300,
2014,42277,3850,
2014,46000,23250,
2014,47303,5210,
2014,82621,4420,
2014,61000,8250,
2014,49800,4000,
2014,57000,5750,
2014,43772,6350,
2014,80000,10750,
2014,55804,4760,
2014,52000,24500,
2014,43521,4250,
2014,49386,4860,
2014,67771,7060,
2014,30000,3250,
2014,34200,6500,
2014,160000,12000,
2014,32000,4350,
2014,62700,6800,
2014,74000,5700,
2014,42355,4000,
2014,9759,2750,
2014,75216,5100,
2014,59451,3690,
2014,56000,5750,
2014,70963,7830,
2014,97236,4400,
2014,55000,8500,
2014,83558,6980,
2014,21000,24500,
2014,37000,3500,
2014,49000,8900,
2014,79870,5350,
2014,45535,19410,
2014,53000,3800,
2014,60000,3250,
2014,38000,38950,
2014,32805,3600,
2014,56000,7000,
2014,34669,2900,
2014,102418,10100,
2014,48800,4250,
2014,62000,3750,
2014,60336,24940,
2014,26008,1970,
2014,62000,10550,
2014,62012,20120,
2014,81000,9000,
2014,70000,18000,
2014,83274,5790,
2014,66000,4450,
2014,41123,3400,
2014,48000,21600,
2014,64241,3670,
2014,79000,41000,
2014,44282,5990,
2014,21727,3350,
2014,73557,7750,
2014,85670,6250,
2014,85071,9750,
2014,83128,7450,
2014,24000,25000,
2014,70669,9000,
2014,40000,4450,
2014,71000,5450,
2014,43081,5250,
2014,41000,3250,
2014,55000,5840,
2014,46738,6100,
2014,52108,5490,
2014,105044,10750,
2014,58000,4500,
2014,49663,8420,
2014,66882,25020,
2014,41460,3950,
2014,50000,6500,
2014,19000,4750,
2014,54230,4500,
2014,14000,3000,
2014,67000,7200,
2014,58000,18500,
2014,52000,5990,
2014,60000,24000,
2014,33485,3590,
2014,64557,29930,
2014,52000,4100,
2014,84056,6750,
2014,55000,5640,
2014,55000,9800,
2014,46000,4450,
2014,72563,5000,
2014,51000,5650,
2014,48000,4500,
2014,97000,8000,
2014,85512,5800,
